Date,Close/Last,Volume,Open,High,Low
05/24/2023,1.23401,N/A,1.23401,1.2372,1.2332
05/23/2023,1.2426,N/A,1.2426,1.2429,1.2413
05/22/2023,1.2435,N/A,1.2435,1.2447,1.2426
05/21/2023,1.24619,N/A,1.24619,1.2472,1.2439
05/19/2023,1.24461,N/A,1.24461,1.2484,1.2392
05/18/2023,1.2405,N/A,1.2405,1.2417,1.2392
05/17/2023,1.2481,N/A,1.2481,1.2493,1.2479
05/16/2023,1.24866,N/A,1.24866,1.2494,1.2477
05/15/2023,1.2528,N/A,1.2528,1.2533,1.2515
05/14/2023,1.246,N/A,1.2457,1.2467,1.2444
05/12/2023,1.2448,N/A,1.2509,1.2542,1.2445
05/11/2023,1.2521,N/A,1.2509,1.2522,1.2507
05/10/2023,1.262,N/A,1.2624,1.2641,1.2619
05/09/2023,1.263,N/A,1.2619,1.2635,1.2616
05/08/2023,1.2613,N/A,1.2617,1.2632,1.2604
05/07/2023,1.2647,N/A,1.2641,1.2647,1.2625
05/05/2023,1.2631,N/A,1.2572,1.2652,1.2561
05/04/2023,1.2612,N/A,1.2572,1.2615,1.2569
05/03/2023,1.2584,N/A,1.2564,1.2593,1.2554
05/02/2023,1.2492,N/A,1.2464,1.2494,1.2464
05/01/2023,1.2498,N/A,1.2496,1.2512,1.2484
04/30/2023,1.2567,N/A,1.2572,1.2571,1.2551
04/28/2023,1.2567,N/A,1.2487,1.2585,1.2447
04/27/2023,1.2494,N/A,1.2487,1.2504,1.2484
04/26/2023,1.2472,N/A,1.2467,1.2478,1.246
04/25/2023,1.2416,N/A,1.2408,1.2419,1.2404
04/24/2023,1.2487,N/A,1.2482,1.2507,1.2476
04/23/2023,1.2435,N/A,1.243,1.2452,1.2432
04/21/2023,1.2443,N/A,1.2443,1.2449,1.2366
04/20/2023,1.2437,N/A,1.2443,1.2447,1.2429
04/19/2023,1.2428,N/A,1.2438,1.2445,1.2421
04/18/2023,1.2418,N/A,1.2424,1.2435,1.241
04/17/2023,1.2383,N/A,1.2374,1.2387,1.2368
04/16/2023,1.2405,N/A,1.2413,1.2421,1.2384
04/14/2023,1.2416,N/A,1.252,1.2547,1.2399
04/13/2023,1.2544,N/A,1.252,1.2547,1.2516
04/12/2023,1.2486,N/A,1.2481,1.2497,1.248
04/11/2023,1.2435,N/A,1.2424,1.2441,1.2421
04/10/2023,1.2406,N/A,1.2381,1.2414,1.238
04/09/2023,1.241,N/A,1.2413,1.2435,1.2408
04/07/2023,1.242,N/A,1.2439,1.2456,1.239
04/06/2023,1.2448,N/A,1.2439,1.245,1.2434
04/05/2023,1.2445,N/A,1.2457,1.2468,1.2437
04/04/2023,1.2489,N/A,1.2499,1.251,1.2484
04/03/2023,1.2403,N/A,1.2411,1.2426,1.2399
04/02/2023,1.2284,N/A,1.2333,1.2333,1.2278
03/31/2023,1.2331,N/A,1.2383,1.2423,1.2326
03/30/2023,1.2395,N/A,1.2383,1.2423,1.2383
03/29/2023,1.2305,N/A,1.2311,1.232,1.2293
03/28/2023,1.2327,N/A,1.234,1.2343,1.2321
03/27/2023,1.2317,N/A,1.2284,1.2321,1.2282
03/26/2023,1.2248,N/A,1.223,1.2251,1.2229
03/24/2023,1.2231,N/A,1.2285,1.2293,1.2192
03/23/2023,1.2277,N/A,1.2285,1.2293,1.2262
03/22/2023,1.2319,N/A,1.2264,1.2325,1.2262
03/21/2023,1.2233,N/A,1.2214,1.2234,1.2208
03/20/2023,1.226,N/A,1.2276,1.2282,1.2257
03/19/2023,1.2173,N/A,1.2175,1.2208,1.2169
03/17/2023,1.2187,N/A,1.2107,1.2201,1.2101
03/16/2023,1.2139,N/A,1.2107,1.2149,1.2101
03/15/2023,1.2075,N/A,1.2065,1.2083,1.2044
03/14/2023,1.2172,N/A,1.2158,1.2182,1.2147
03/13/2023,1.2155,N/A,1.2181,1.2189,1.2145
03/12/2023,1.2127,N/A,1.2028,1.2141,1.2055
03/10/2023,1.2035,N/A,1.1925,1.2114,1.191
03/09/2023,1.1928,N/A,1.1925,1.1933,1.191
03/08/2023,1.1854,N/A,1.1842,1.1854,1.1832
03/07/2023,1.182,N/A,1.1827,1.1842,1.181
03/06/2023,1.2045,N/A,1.2021,1.2048,1.2018
03/05/2023,1.2037,N/A,1.204,1.2048,1.2024
03/03/2023,1.2045,N/A,1.1941,1.2048,1.1939
03/02/2023,1.1966,N/A,1.1941,1.1976,1.1939
03/01/2023,1.2005,N/A,1.2031,1.2037,1.1999
02/28/2023,1.2041,N/A,1.202,1.2048,1.2012
02/27/2023,1.2048,N/A,1.2062,1.2069,1.2045
02/26/2023,1.1947,N/A,1.1944,1.1965,1.1938
02/24/2023,1.1941,N/A,1.2013,1.2041,1.1929
02/23/2023,1.2021,N/A,1.2013,1.2033,1.2007
02/22/2023,1.206,N/A,1.2044,1.2068,1.204
02/21/2023,1.2107,N/A,1.2115,1.2135,1.2106
02/20/2023,1.2025,N/A,1.2038,1.2044,1.2014
02/19/2023,1.2036,N/A,1.2035,1.2041,1.2014
02/17/2023,1.2044,N/A,1.1993,1.2049,1.1915
02/16/2023,1.1944,N/A,1.1993,1.20,1.1941
02/15/2023,1.2099,N/A,1.217,1.2182,1.2071
02/14/2023,1.2153,N/A,1.217,1.2182,1.2144
02/13/2023,1.2147,N/A,1.2135,1.2153,1.2129
02/12/2023,1.2046,N/A,1.2058,1.2068,1.2034
02/10/2023,1.206,N/A,1.2122,1.2194,1.2047
02/09/2023,1.2092,N/A,1.2122,1.2194,1.2057
02/08/2023,1.2086,N/A,1.2071,1.2088,1.2057
02/07/2023,1.2052,N/A,1.2042,1.2061,1.2036
02/06/2023,1.204,N/A,1.2016,1.2055,1.2018
02/03/2023,1.2054,N/A,1.2223,1.2265,1.2047
02/02/2023,1.2212,N/A,1.2223,1.2237,1.2203
02/01/2023,1.2393,N/A,1.2376,1.2401,1.2371
01/31/2023,1.2315,N/A,1.232,1.2329,1.2304
01/30/2023,1.2339,N/A,1.2352,1.2371,1.2332
01/27/2023,1.2398,N/A,1.2406,1.2419,1.2346
01/26/2023,1.2384,N/A,1.2406,1.2419,1.238
01/25/2023,1.24,N/A,1.24,1.242,1.2393
01/24/2023,1.2325,N/A,1.2328,1.2338,1.2311
01/23/2023,1.2382,N/A,1.2373,1.2392,1.2374
01/22/2023,1.2421,N/A,1.2393,1.2447,1.2397
01/20/2023,1.2398,N/A,1.2389,1.2405,1.2336
01/19/2023,1.2372,N/A,1.2389,1.2398,1.2369
01/18/2023,1.2332,N/A,1.2346,1.2352,1.2319
01/17/2023,1.2283,N/A,1.2288,1.2293,1.2255
01/16/2023,1.2194,N/A,1.2191,1.2213,1.2174
01/15/2023,1.2264,N/A,1.2226,1.229,1.2213
01/13/2023,1.2233,N/A,1.22,1.2249,1.2151
01/12/2023,1.2193,N/A,1.22,1.2234,1.219
01/11/2023,1.2168,N/A,1.2142,1.2169,1.2138
01/10/2023,1.2156,N/A,1.2155,1.2164,1.214
01/09/2023,1.2161,N/A,1.2183,1.2198,1.2157
01/08/2023,1.2141,N/A,1.2092,1.2148,1.2087
01/06/2023,1.2093,N/A,1.1906,1.2099,1.1841
01/05/2023,1.1927,N/A,1.1906,1.1936,1.1895
01/04/2023,1.2035,N/A,1.2053,1.2077,1.2033
01/03/2023,1.1985,N/A,1.1966,1.2001,1.1954
01/02/2023,1.2082,N/A,1.2045,1.2085,1.2035
01/01/2023,1.2076,N/A,1.2097,1.21,1.2067
12/30/2022,1.2091,N/A,1.2052,1.2107,1.2011
12/29/2022,1.2045,N/A,1.2052,1.2068,1.2039
12/28/2022,1.2034,N/A,1.2013,1.2051,1.2015
12/27/2022,1.202,N/A,1.2021,1.2033,1.2002
12/26/2022,1.2085,N/A,1.206,1.2103,1.2063
12/25/2022,1.2071,N/A,1.2058,1.2081,1.2044
12/23/2022,1.205,N/A,1.2043,1.2091,1.2019
12/22/2022,1.2044,N/A,1.2043,1.2059,1.2019
12/21/2022,1.2121,N/A,1.2083,1.2135,1.2074
12/20/2022,1.2167,N/A,1.2181,1.2192,1.2161
12/19/2022,1.2134,N/A,1.2146,1.2222,1.2126
12/18/2022,1.2185,N/A,1.214,1.2202,1.2149
12/16/2022,1.2139,N/A,1.2176,1.2223,1.212
12/15/2022,1.221,N/A,1.2176,1.2223,1.2177
12/14/2022,1.2382,N/A,1.2421,1.2431,1.238
12/13/2022,1.2346,N/A,1.2354,1.2384,1.2342
12/12/2022,1.2264,N/A,1.227,1.2291,1.2253
12/11/2022,1.2236,N/A,1.2255,1.2269,1.2213
12/09/2022,1.2269,N/A,1.2233,1.2323,1.2212
12/08/2022,1.2272,N/A,1.2233,1.2277,1.2227
12/07/2022,1.2184,N/A,1.2199,1.2214,1.218
12/06/2022,1.2129,N/A,1.2137,1.215,1.2122
12/05/2022,1.2199,N/A,1.2188,1.2224,1.2179
12/04/2022,1.2342,N/A,1.2287,1.2345,1.2271
12/02/2022,1.2294,N/A,1.2253,1.23,1.2135
12/01/2022,1.2241,N/A,1.2253,1.2279,1.2231
11/30/2022,1.2096,N/A,1.2056,1.2105,1.2054
11/29/2022,1.1989,N/A,1.1953,1.1993,1.1942
11/28/2022,1.2021,N/A,1.1958,1.2023,1.195
11/27/2022,1.2051,N/A,1.2093,1.2075,1.2026
11/25/2022,1.2091,N/A,1.211,1.2128,1.2059
11/24/2022,1.2123,N/A,1.211,1.2128,1.2097
11/23/2022,1.2099,N/A,1.2052,1.2105,1.2047
11/22/2022,1.1875,N/A,1.1883,1.191,1.1873
11/21/2022,1.1854,N/A,1.1821,1.1864,1.1819
11/18/2022,1.1886,N/A,1.1862,1.1951,1.1861
11/17/2022,1.1865,N/A,1.1862,1.1869,1.1861
11/16/2022,1.1915,N/A,1.1908,1.1922,1.1913
11/15/2022,1.1848,N/A,1.1858,1.1888,1.1832
11/14/2022,1.1761,N/A,1.1752,1.1774,1.1743
11/13/2022,1.1765,N/A,1.1835,1.1817,1.1752
11/11/2022,1.1833,N/A,1.1713,1.1855,1.1648
11/10/2022,1.1679,N/A,1.1713,1.1725,1.1648
11/09/2022,1.1401,N/A,1.1356,1.1409,1.1354
11/08/2022,1.1542,N/A,1.1536,1.1559,1.1523
11/07/2022,1.1492,N/A,1.1511,1.1537,1.1491
11/06/2022,1.1332,N/A,1.1375,1.1343,1.1306
11/04/2022,1.1375,N/A,1.1165,1.1382,1.1149
11/03/2022,1.1208,N/A,1.1165,1.1215,1.115
11/02/2022,1.1412,N/A,1.1389,1.1422,1.1375
11/01/2022,1.1521,N/A,1.1483,1.1528,1.1474
