Date,Close/Last,Volume,Open,High,Low
03/10/2023,$34.18,565298,$34.11,$34.91,$33.201
03/09/2023,$34.03,915514,$35.42,$36.0798,$33.33
03/08/2023,$35.42,382315,$34.95,$36.00,$34.40
03/07/2023,$34.86,677532,$36.21,$36.49,$34.72
03/06/2023,$36.66,669354,$37.93,$37.93,$35.86
03/03/2023,$37.50,1705795,$35.11,$37.68,$34.5899
03/02/2023,$35.02,1141980,$32.58,$35.76,$32.555
03/01/2023,$35.73,909700,$36.16,$36.6199,$35.02
02/28/2023,$35.96,1093289,$36.79,$38.00,$35.37
02/27/2023,$36.70,957752,$35.48,$36.77,$34.95
02/24/2023,$34.94,1063351,$33.44,$35.5993,$32.4818
02/23/2023,$34.31,949813,$35.67,$35.755,$33.48
02/22/2023,$35.56,1943704,$34.63,$36.40,$32.09
02/21/2023,$34.23,3768757,$35.25,$35.55,$32.64
02/17/2023,$29.48,989915,$30.66,$30.66,$28.78
02/16/2023,$30.35,358908,$29.91,$31.45,$29.6201
02/15/2023,$30.20,297543,$29.375,$30.29,$28.95
02/14/2023,$29.91,395583,$29.58,$29.985,$28.69
02/13/2023,$29.40,405675,$28.43,$29.65,$28.17
02/10/2023,$28.28,392060,$28.04,$28.88,$28.02
02/09/2023,$28.57,265058,$29.84,$29.96,$28.57
02/08/2023,$29.41,324928,$28.94,$29.49,$28.73
02/07/2023,$28.71,489751,$28.47,$29.84,$28.47
02/06/2023,$28.50,862404,$29.88,$30.17,$28.28
02/03/2023,$30.18,734431,$32.10,$32.94,$29.842
02/02/2023,$32.41,982746,$31.93,$33.2099,$31.76
02/01/2023,$31.51,365763,$31.40,$31.88,$30.11
01/31/2023,$30.50,388669,$29.60,$31.38,$29.60
01/30/2023,$29.56,368820,$30.35,$31.07,$29.30
01/27/2023,$30.69,507567,$30.97,$32.22,$29.955
01/26/2023,$30.94,365168,$30.52,$31.13,$29.927
01/25/2023,$30.20,423210,$31.20,$31.20,$29.63
01/24/2023,$31.21,609322,$30.63,$32.68,$30.63
01/23/2023,$31.58,488455,$31.69,$31.9599,$29.6212
01/20/2023,$30.51,383448,$30.35,$31.46,$30.00
01/19/2023,$29.65,525165,$31.50,$31.69,$29.38
01/18/2023,$31.58,578277,$30.22,$31.86,$29.97
01/17/2023,$29.71,437781,$30.58,$30.78,$29.11
01/13/2023,$30.19,675010,$28.96,$30.90,$28.82
01/12/2023,$28.53,565285,$27.77,$29.09,$27.66
01/11/2023,$27.78,554262,$25.66,$28.1192,$25.66
01/10/2023,$25.77,647982,$26.57,$27.39,$25.43
01/09/2023,$26.88,842504,$27.76,$28.28,$26.48
01/06/2023,$26.96,674034,$26.50,$27.78,$26.00
01/05/2023,$25.83,531294,$25.05,$26.31,$25.00
01/04/2023,$25.85,897176,$25.65,$26.57,$24.07
01/03/2023,$25.37,915444,$28.80,$29.37,$25.145
12/30/2022,$28.22,444706,$26.87,$28.22,$26.77
